person,age,income,days_of_membership,money_spent,money_gained,event_offer_completed,event_offer_viewed,event_transaction,event_auto_completed,gender_F,gender_M,gender_O,CLOSEST_CLUSTER
0009655768c64bdeb2e877511632db8f,33,72000.0,545,15.684444444444445,3.0,3,4,9,2,0,1,0,0
0011e0d4e6b944f998e987f904e8c1e5,40,57000.0,282,15.892000000000001,4.0,4,5,5,0,0,0,1,0
0020c2b971eb4e9188eac86d93036a77,59,90000.0,958,24.6075,6.0,2,3,8,0,1,0,0,1
0020ccbbb6d84e358d3414a3ff76cffd,24,60000.0,706,12.837499999999999,4.333333333333333,4,4,12,0,1,0,0,0
003d66b6608740288d6cc97a6903f4f0,26,73000.0,484,2.6855555555555553,3.0,4,4,18,1,1,0,0,0
00426fe3ffde4c6b9cb9ad6d077a13ea,19,65000.0,800,4.029999999999999,2.0,2,2,17,0,1,0,0,0
004b041fbfe44859945daa2c7f79ee64,55,74000.0,163,23.06,3.5,2,2,6,0,1,0,0,1
004c5799adbf42868b9cff0396190900,54,99000.0,931,28.948333333333327,4.8,4,4,12,1,0,1,0,0
005500a7188546ff8a767329a2f7c76a,56,47000.0,313,5.09,5.0,0,3,4,1,0,1,0,2
0056df74b63b4298809f0b375a304cf4,54,91000.0,788,28.827999999999996,4.333333333333333,3,3,5,1,0,1,0,1
00715b6e55c3431cb56ff7307eb19675,58,119000.0,315,25.008000000000003,6.4,3,4,15,2,1,0,0,1
0082fd87c18f45f2be70dbcbb0fb8aad,28,68000.0,405,17.407142857142855,5.0,4,5,7,0,1,0,0,0
00840a2ca5d2408e982d56544dc14ffd,26,61000.0,1397,3.701764705882353,3.0,2,2,17,1,0,1,0,0
00857b24b13f4fe0ad17b605f00357f5,71,41000.0,360,1.565,0.0,0,3,4,0,0,1,0,2
008d7088107b468893889da0ede0df5c,24,42000.0,403,2.311428571428572,0.0,0,5,7,0,0,1,0,2
0091d2b6a5ea4defaa8393e4e816db60,62,81000.0,853,23.263333333333332,6.25,4,5,12,0,1,0,0,0
0099bf30e4cb4265875266eb3eb25eab,61,66000.0,246,11.758888888888887,3.5,1,3,9,1,0,1,0,2
00a794f62b9a48beb58f8f6c02c2f1a6,88,54000.0,1090,15.12727272727273,5.0,4,5,11,0,1,0,0,0
